company_id,function_id,region_id,capacity_value,unit,source_id
alpha,power,kochi,100,台,SRC-REPORT-001
alpha,power,tokushima,80,台,SRC-REPORT-001
beta,power,kochi,50,台,SRC-REPORT-001
beta,power,tokushima,40,台,SRC-REPORT-001
gamma,power,kochi,10,台,SRC-REPORT-001
gamma,power,tokushima,8,台,SRC-REPORT-001
alpha,telecom,kochi,100,局,SRC-REPORT-001
alpha,telecom,tokushima,80,局,SRC-REPORT-001
beta,telecom,kochi,50,局,SRC-REPORT-001
beta,telecom,tokushima,40,局,SRC-REPORT-001
gamma,telecom,kochi,10,局,SRC-REPORT-001
gamma,telecom,tokushima,8,局,SRC-REPORT-001
alpha,information,kochi,100,拠点,SRC-REPORT-001
alpha,information,tokushima,80,拠点,SRC-REPORT-001
beta,information,kochi,50,拠点,SRC-REPORT-001
beta,information,tokushima,40,拠点,SRC-REPORT-001
gamma,information,kochi,10,拠点,SRC-REPORT-001
gamma,information,tokushima,8,拠点,SRC-REPORT-001
alpha,rescue,kochi,100,隊,SRC-REPORT-001
alpha,rescue,tokushima,80,隊,SRC-REPORT-001
beta,rescue,kochi,50,隊,SRC-REPORT-001
beta,rescue,tokushima,40,隊,SRC-REPORT-001
gamma,rescue,kochi,10,隊,SRC-REPORT-001
gamma,rescue,tokushima,8,隊,SRC-REPORT-001
