company_id,function_id,disaster_id,deployment_status,source_id
alpha,power,d1,deployed,SRC-REPORT-001
alpha,power,d2,deployed,SRC-REPORT-001
alpha,power,d3,deployed,SRC-REPORT-001
beta,power,d1,deployed,SRC-REPORT-001
beta,power,d2,not_deployed,SRC-REPORT-001
beta,power,d3,deployed,SRC-REPORT-001
gamma,power,d1,not_deployed,SRC-REPORT-001
gamma,power,d2,not_deployed,SRC-REPORT-001
gamma,power,d3,deployed,SRC-REPORT-001
alpha,telecom,d1,deployed,SRC-REPORT-001
alpha,telecom,d2,deployed,SRC-REPORT-001
alpha,telecom,d3,deployed,SRC-REPORT-001
beta,telecom,d1,deployed,SRC-REPORT-001
beta,telecom,d2,not_deployed,SRC-REPORT-001
beta,telecom,d3,deployed,SRC-REPORT-001
gamma,telecom,d1,not_deployed,SRC-REPORT-001
gamma,telecom,d2,not_deployed,SRC-REPORT-001
gamma,telecom,d3,deployed,SRC-REPORT-001
alpha,information,d1,deployed,SRC-REPORT-001
alpha,information,d2,deployed,SRC-REPORT-001
alpha,information,d3,deployed,SRC-REPORT-001
beta,information,d1,deployed,SRC-REPORT-001
beta,information,d2,not_deployed,SRC-REPORT-001
beta,information,d3,deployed,SRC-REPORT-001
gamma,information,d1,not_deployed,SRC-REPORT-001
gamma,information,d2,not_deployed,SRC-REPORT-001
gamma,information,d3,deployed,SRC-REPORT-001
alpha,rescue,d1,deployed,SRC-REPORT-001
alpha,rescue,d2,deployed,SRC-REPORT-001
alpha,rescue,d3,deployed,SRC-REPORT-001
beta,rescue,d1,deployed,SRC-REPORT-001
beta,rescue,d2,not_deployed,SRC-REPORT-001
beta,rescue,d3,deployed,SRC-REPORT-001
gamma,rescue,d1,not_deployed,SRC-REPORT-001
gamma,rescue,d2,not_deployed,SRC-REPORT-001
gamma,rescue,d3,deployed,SRC-REPORT-001
